client_id,residence_country 1,residence_country 2,residence_country 3,residence_country 4,residence_country 5,residence_country 6,residence_country 7,residence_other region 1,residence_other region 2,residence_other region 3,residence_other region 4,residence_other region 5,residence_other region 6,residence_other region 7,residence_other region 8,generation_gen silent/boomers,generation_gen x,generation_gen z/alpha,generation_millennials,category_children clothes,category_handbags,category_men clothes,category_men shoes,category_other,category_soft,category_women clothes,category_women shoes,color_cool_jewel,color_neutral_pastel,color_other,color_vivid_metallic,color_warm_earth,season_autumn,season_spring,season_summer,season_winter,total_sum
1183290,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6,0,1,4,0,1,1,3,0,3,1,7
1219681,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,0,3,3,1,3,4,0,4,2,5,0,5,12
1275852,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,1,0,1,2,0,3,2,2,2,0,6
1385187,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,5,1,3,4,0,0,3,5,3,1,1,10
1577762,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,7,1,40,20,7,19,14,3,27,16,20,24,10,70
1592427,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,1,2,4,0,13,0,0,0,1,7,0,5,13
1599091,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,42,0,0,0,4,15,19,1,9,13,14,15,6,48
1768831,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,0,0,9,1,6,6,0,1,2,11,1,0,14
1884045,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,14,5,3,1,2,5,3,8,7,1,13,3,13,13,3,32
1980198,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,11,5,11,4,2,20,7,3,4,10,7,14,5,36
2002912,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,3,2,5,1,8,12,2,19,4,2,7,14,7,5,8,34
2019133,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,21,0,3,8,4,4,5,2,3,7,12,24
2249303,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,4,7,6,0,0,8,3,9,9,4,7,8,5,13,6,32
2435846,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,2,1,0,1,2,1,0,2,3,6
2544949,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,2,4,1,12,16,7,17,8,2,9,14,14,13,2,43
2551142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,19,1,2,11,6,0,4,3,10,2,8,23
3181498,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,1,8,9,4,7,4,0,7,0,17,4,1,22
3234739,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,6,6,40,1,4,6,12,24,16,2,15,14,19,12,24,69
3286504,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
3427952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,4,0,2,17,2,0,6,1,7,11,2,12,2,8,8,15,33
3507733,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,13,2,0,5,8,1,4,6,0,5,7,18
3668670,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,3,0,1,4,1,0,1,2,2,3,0,7
3762659,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,2,0,0,0,2
4094883,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,5,3,1,7,2,3,17,3,1,4,0,14,10,4,28
4333830,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,13,0,0,1,1,5,8,1,4,1,7,6,5,19
4374728,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,2
4432615,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,3,0,0,0,1,1,1,0,3
4436809,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,1,1,2,0,1,2,2,0,0,4,6
4515883,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
4624675,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,1,0,1,3,0,1,0,0,0,5,5
5258598,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,14,1,5,8,2,1,4,0,14,0,6,20
5505284,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,1,1,3,12,2,3,13,2,0,4,7,1,6,8,22
5864974,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,2,0,0,0,1,0,4,0,2,0,5,2,0,7
6214431,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,3,1,5,0,1,1,2,0,1,5,8
6425895,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,1,2,0,1,4,1,0,1,3,9,0,0,0,9
6528170,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,4,19,0,3,3,1,13,15,0,1,2,11,17,0,30
6904781,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,3,3,1,7,0,0,1,5,0,1,3,9
6934412,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,0,3,3
6978995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,4,23,2,2,10,7,6,8,5,11,9,8,33
7227838,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,1,1,0,1,1,1,1,2,0,4
7240053,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2
7261633,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,2,7,0,1,3,1,7,4,0,6,9,0,0,9,18
7279885,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,0,0,0,5,1,0,0,1,2,0,3,6
7406218,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,4,4,1,0,9,2,0,2,4,0,4,5,13
7571168,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,10,2,2,6,2,0,4,2,0,8,4,14
7597804,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,2,2
7616064,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,6,1,0,2,1,8,5,0,4,5,2,4,7,18
7705181,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,10,2,0,0,4,3,7,6,4,5,8,4,3,10,25
7891890,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,0,1,12,0,0,8,4,14,6,1,2,10,10,3,4,27
7911843,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,21,0,0,0,2,10,5,4,1,3,5,6,8,22
7917347,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,12,6,4,11,2,25,4,0,4,12,11,7,5,35
8058487,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,1,8,1,6,3,2,13,6,1,5,10,7,10,0,27
8118853,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,1,2,1,0,0,0,0,1,3,4
8235355,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,7,1,2,4,1,6,6,1,4,5,6,7,0,18
8243709,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,3,0,0,3,3,0,7,0,0,0,9,0,1,10
8264055,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,17,0,0,0,2,13,4,1,2,1,11,9,1,22
8397765,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,2,0,1,1,0,1,3
8424996,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,4,1,19,9,2,7,8,6,13,4,25,4,3,36
8437280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,21,5,9,0,1,3,3,11,15,2,10,6,9,15,11,41
8808264,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,21,6,3,2,22,6,5,22,8,2,24,17,20,18,6,61
8840310,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,2,3,0,0,0,3
9032481,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27,0,5,0,0,0,14,3,7,1,7,3,5,16,8,32
9056233,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1,0,10,5,4,6,5,3,2,2,4,5,9,20
9065165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,23,2,7,0,15,2,5,19,13,0,17,16,20,4,14,54
9075144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,1,1,2,3,0,3,4,0,6,4,7,0,2,13
9080669,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,11,0,13,1,9,0,27,0,12,19,11,1,18,1,0,14,46,61
9217354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9,0,9,0,6,0,10,8,6,15,4,2,15,11,8,8,15,42
9301041,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,5,0,0,0,1,11,2,0,2,4,5,1,6,16
9387878,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,5,0,0,0,1,3,2,1,1,2,0,1,5,8
9539325,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,2,1,1,8,2,1,7,3,0,8,2,11,4,2,19
9706160,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,27,7,5,19,5,1,5,15,7,1,12,35
10038926,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,2,0,2
10064285,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,2,0,0,0,3,0,0,3
10071157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,1,1,3,9,3,3,21,0,0,9,13,5,8,7,33
10092560,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,2,4,1,5,3,0,0,4,2,1,2,9
10260516,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,3,0,0,0,0,1,3,2,2,6,4,0,5,5,14
10262207,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,12,2,4,14,2,0,0,4,11,5,0,20
10331826,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,2,0,0,0,2
10358051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,9,2,2,7,1,1,4,4,7,4,0,15
10544116,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,2,4,0,2,1,0,6,3,2,4,3,5,7,0,15
10578381,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1,5,1,3,1,2,1,4,3,8,0,0,11
10633237,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,1,1,1,4,0,1,2,0,2,3,7
10642917,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,8,2,1,3,1,9,6,1,0,0,17,0,0,17
10812976,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0,2,1,1,4,0,0,0,4
11017781,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,2,1,0,1,1,0,3,0,4
11146439,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,1,1,1,2,0,0,3,0,4,0,2,6
11186945,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,0,0,3,0,3
11577201,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,5,0,30,2,22,7,12,21,10,1,25,19,29,2,19,69
11752819,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,6,2,1,7,1,0,2,7,0,4,0,11
11874990,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,6,1,4,5,0,11,6,0,4,4,9,4,4,21
11915137,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,5,1,2,5,1,0,3,5,4,0,2,11
11987850,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,0,3,0,0,2,1,3,0,1,5
12168091,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,8,3,0,8,2,0,5,0,11,4,0,15
12324132,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,28,6,2,16,6,0,12,7,13,12,4,36
12436605,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,3,0,6,0,4,0,1,9,3,0,4,5,0,7,5,17
12443291,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,6,4,24,11,1,23,17,2,10,5,4,4,40,53
12521331,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,2,2,12,8,18,10,2,17,14,6,18,17,15,14,11,57
12547800,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,7,0,17,5,5,6,6,2,12,6,5,6,14,31
12563020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,4,1,0,5,2,1,1,0,0,9,0,9
12582372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,2,0,0,0,2
13095909,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,2,0,0,2
13301062,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,2
13305512,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,1,2,0,4,2,0,1,0,1,2,4,7
13382276,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,2,5,2,9,5,2,6,6,4,13,9,4,3,15,31
13504903,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,2,2,0,1,1,3,1,0,5
13511937,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,0,2,3,0,0,0,3
13537172,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,1,0,0,0,3,1,1,0,6,3,1,0,7,11
13697322,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,11,1,11,2,7,4,1,10,16,2,8,9,11,11,6,37
13775402,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,2,0,0,2,2,3,2,0,0,5,1,0,1,7
13832518,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,1,0,0,0,4,0,0,2,2,0,4,0,6
13880233,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,5,0,0,1,0,12,0,0,0,2,2,2,6,12
13891323,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,2,1,18,1,1,9,2,18,8,0,8,4,15,3,14,36
13899727,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2
13997598,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,1,0,0,10,1,1,12,0,0,6,5,7,3,4,19
14023304,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,4,0,3,3,0,3,0,0,9,0,9
14081565,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,2,25,2,9,3,3,15,6,2,17,13,14,8,8,43
14272492,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,4,1,0,20,1,17,6,3,5,20,0,0,12,32
14407617,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,1,4,5,25,4,7,19,5,2,17,9,22,9,10,50
14413478,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,2,1,0,0,2,4,1,0,0,1,0,6,0,7
14672044,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,3,1,0,0,1,3,1,1,3,5,3,1,0,9
14782430,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,2,0,0,3,0,3
14784007,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,2,0,0,2,1,3,0,1,1,4,6
14832384,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,2,1,3,3,1,1,3,1,8,0,1,9,4,14
15117400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,2,1,1,2,3,0,2,1,3,2,2,8
15233177,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,3,1,1,0,2,4,1,3,0,3,7,0,10
15277101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,3,0,0,3
15367861,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,1,2,1,3,3,4,0,0,7
15776670,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,3,1,1,4,0,0,2,6,0,0,1,7
15792378,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,4,0,39,4,9,14,9,6,11,13,12,10,14,49
15803481,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,4,0,0,0,0,2,3,1,1,1,2,4,1,1,8
15840516,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,7,1,28,12,3,21,11,1,17,9,16,15,13,53
15905511,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,2,0,0,2,4,0,0,0,4
15910530,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,2,0,0,1,1,2,0,1,0,5,0,0,5
15987155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,6,2,6,3,1,1,4,3,3,3,13
16105567,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,5,1,1,5,0,0,0,3,1,3,7
16108231,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,12,0,0,8,3,8,14,0,1,14,3,2,7,26
16453894,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,8,2,15,2,8,6,3,18,13,3,9,11,7,15,13,46
16533620,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,5,0,0,0,6,2,4,1,3,6,10,0,0,16
16562718,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,3,3,0,3,2,1,8,5,0,5,10,5,0,4,19
16567000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,3,2,1,6,0,16,5,8,9,10,2,14,14,8,16,5,43
16612618,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,3,1,0,0,1,0,0,3,4
16741082,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,2,1,1,1,0,2,1,2,1,1,5
16760985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,1,1,0,2,0,1,3
16780918,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,7,0,9,1,2,12,3,0,2,6,7,4,2,19
16924581,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,5,1,12,0,7,3,7,3,12,3,6,6,7,15,3,31
16985447,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,2,0,2,0,0,6,5,3,0,8,12,1,0,9,22
17015986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7,0,2,3,0,2,1,5,0,0,3,8
17080014,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,3,26,2,26,1,4,3,9,20,7,5,30,11,11,23,26,71
17190590,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,8,0,1,8,0,1,2,3,4,1,4,12
17254894,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,7,0,1,5,0,1,1,8,0,0,0,8
17378423,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,2,11,0,0,7,0,16,5,2,2,5,5,4,11,25
17518783,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,2,2,0,0,0,1,6,2,3,7,0,0,7,12,19
17537553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,12,0,0,4,0,6,8,1,3,2,0,16,0,18
17701081,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,4,9,1,0,0,5,7,2,3,4,0,8,3,10,21
17897069,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,4,2,0,4,3,0,3,10,0,0,0,10
17974943,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,0,0,2,1,3,2,1,1,0,1,2,5,8
18246697,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,3,1,1,27,2,3,13,7,1,20,9,10,14,11,44
18290449,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,19,8,7,2,10,8,10,23,7,8,12,18,21,7,14,60
18381420,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,6,2,6,1,33,8,3,35,5,2,13,20,8,23,7,58
18475015,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,4,8,0,7,4,1,2,5,4,9,2,4,19
18651872,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,5,1,18,7,6,12,6,3,9,7,7,13,9,36
18764145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,2,3,3,0,7,3,2,1,0,9,1,3,13
